movie_poster,movie_title,movie_date,movie_audience,movie_story,movie_review,movie_actor,movie_cine,movie_netizens
"http://image.cine21.com/resize/cine21/poster/2019/0117/10_39_01__5c3fdcb533065[X230,330].jpg",어 독스 웨이 홈,,,줄거리가 없습니다.,,찰스 마틴 스미스,,
"http://image.cine21.com/resize/cine21/poster/2019/0226/15_51_43__5c74e1ff7ecf0[X230,330].jpg",이즌트 잇 로맨틱,,,줄거리가 없습니다.,,토드 스트라우스 슐슨,,
"http://image.cine21.com/resize/cine21/poster/2017/1107/13_49_08__5a013b447a530[X230,330].jpg",어 배드 맘스 크리스마스,,,줄거리가 없습니다.,,스캇 무어,,
"http://image.cine21.com/resize/cine21/poster/2020/0424/18_49_31__5ea2b62be7ad1[X230,330].jpg",콜 오브 와일드,개봉일 : 2020-05-14,"누적관객 : 27,435명","
					
									1890년대 골드러시 시대, ,
금광이 발견되었다는 소식에 일확천금을 노린 수많은 사람들이 알래스카로 몰려든다. ,
   ,
따뜻한 캘리포니아의 부유한 가정에서 길러지던 개 ‘벅’은 ,
한순간 납치되어 알래스카 유콘으로 팔려가게 되고 ,
안락했던 과거와는 전혀 다른 삶이 시작된다. ,
   ,
광활한 대자연, 거친 약육강식의 세계 속 ,
우편배달 썰매견 팀의 신참이 된 ‘벅’. ,
끊임없는 역경이 그를 찾아오지만, ,
진정한 용기는 ‘벅’을 점차 팀의 리더 자리에 오르게 하는데… ,
  ,
야성의 부름에 응답하라! 위대한 여정이 펼쳐진다!				","
							
1890년대 골드러시 시대, 따뜻한 캘리포니아의 가정에서 자라던 천방지축 어린 강아지 벅(테리 노터리)은 개장수에게 납치되어 알래스카 유콘으로 팔려간다. 우여곡절 끝에 신참 우편배달 썰매견으로 일하게 된 벅은 알래스카의 광활하고 혹독한 자연 속에서 전혀 다른 삶을 이어간다. 특유의 성실함으로 주인의 사랑을 받는 벅은 어느덧 어엿한 리더로 거듭난다. 기쁨도 잠시, 알래...							",크리스 샌더스,6.00,6.50
"http://image.cine21.com/resize/cine21/poster/2020/0417/15_43_06__5e994ffa61761[X230,330].jpg",레이니 데이 인 뉴욕,개봉일 : 2020-05-06,"누적관객 : 80,086명","
					
									상상해 봐요,
막 떨어지기 시작한 빗방울,
센트럴 파크 델라코트 시계 아래,
누군가 당신을 기다리고 있다면…,
 ,
재즈를 사랑하는 ‘개츠비’(티모시 샬라메),
영화에 푹 빠진 ‘애슐리’(엘르 패닝),
낭만을 꿈꾸는 ‘챈’(셀레나 고메즈),
매력적인 세 남녀가 선사하는 낭만적인 하루!,
,
운명 같은 만남을 기대하며,
봄비 내리는 뉴욕에서,
로맨틱한 하루를 함께 하실래요?				","
							
개츠비(티모시 샬라메)와 애슐리(엘르 패닝)는 대학에서 함께 신문을 제작하다 연인으로 발전했다. 애슐리는 곧 새 영화를 발표할 롤란 폴라드 감독(리브 슈라이버)의 인터뷰를 맡게 되었고, 인터뷰가 끝난 후 근사한 데이트를 할 계획으로 두 사람은 함께 뉴욕으로 향한다. 인터뷰 도중 롤란 폴라드 감독은 애슐리에게 자신의 신작을 보여주겠다는 제안을 하는데 관람 도중 자신의 ...							",우디 앨런,4.67,4.50
"http://image.cine21.com/resize/cine21/poster/2020/0507/11_26_17__5eb371c92de9c[X230,330].jpg",더 플랫폼,개봉일 : 2020-05-13,"누적관객 : 40,244명","
					
									0 … 33 … 101 …,
30일마다 랜덤으로 레벨이 바뀌는 극한 생존의 수직 감옥 ‘플랫폼’,
최상위 레벨 0에서 아래로 내려갈수록 음식도 인간성도 바닥나는데…,
2020.05.13. 레벨이 바뀐다!				","
							
구덩이라 불리는 곳은 끝이 어디인지 알 수 없을 만큼 깊은 수직 감옥이다. 콘크리트가 아래로 이동하면서 수감자들에게 그 위에 놓인 음식을 먹을 수 있게 하는데, 아래층 수감자는 위층에서 먹다 남긴 걸 먹어야 하는 형국이다. 48층에서 눈을 뜬 주인공 고렝(이반 마사구에)은 심술궂은 노인 트리마가시(조리온 에귈레오)가 음식을 먹고 난 뒤 아래층 수감자들을 골려주기 위해...							",가더 가츠테루 우루샤,6.33,7.00
"http://image.cine21.com/resize/cine21/poster/2020/0428/11_51_19__5ea79a2731d16[X230,330].jpg",프리즌 이스케이프,개봉일 : 2020-05-06,"누적관객 : 90,192명","
					
									,
									인권운동가 ‘팀’과 ‘스티븐’은 억울한 판결로 투옥된다.,
둘은 불의에 굴복하지 않고 탈출을 결심한다. ,
나가기 위해 열어야 할 강철 문은 15개!,
그들은 나뭇조각으로 열쇠를 만들기 시작하고,,
지금껏 아무도 성공한 적 없는 0%의 확률 속에서 ,
목숨을 건 단 한 번의 기회를 노리는데…,
				",,프란시스 아난,6.00,7.00
"http://image.cine21.com/resize/cine21/poster/2019/1105/11_42_28__5dc0e194668d8[X230,330].jpg",크리미널: 해튼가든,개봉일 : 2019-11-21,,"
					
									,
									영국 다이아몬드 시장의 중심지, 해튼가든.,
청년 ‘바실’은 은퇴한 도둑 ‘브라이언’을 찾아가 해튼가든의 금고를 털 계획을 제안하고,
‘브라이언’은 동료들을 모아 인생 마지막 한탕을 준비한다.,
,
누구도 예측하지 못한 사건.,
계획은 성공하고 영국 전역은 혼란에 빠진다.,
경찰은 총력전을 펼치고 수사가 계속되면서 믿기 힘든 범죄의 실체가 드러나는데…				",,제임스 마쉬,,
"http://image.cine21.com/resize/cine21/poster/2011/0411/M0010010_[X230,330].jpg",유어 하이니스,,,"
					
									 				",,데이비드 고든 그린,5.50,
"http://image.cine21.com/resize/cine21/poster/2019/0920/15_29_28__5d8471c8ac17b[X230,330].jpg",여배우들의 티타임,개봉일 : 2019-10-10,,"
					
									,
									Q. 젊은 시절의 나에게 해주고 싶은 말이 있다면요?,
,
A. 조안 플로라이트,
내가 나중에서야 관심 갖게 된 것들을,
더 일찍 시작하라고 말해주고 싶어,
,
A. 에일린 앗킨스,
난 성질 좀 죽이라고 충고할 거야,
,
A. 매기 스미스,
아마 충고 따윈 안 들을 테지만,
그래도 굳이 찾자면 의심을 거두라고 말해주고 싶네,
,
A. 주디 덴치,
사랑에 쉽게 빠지지 말라고 말해줄 거야,
너무 한심하잖아				","
							
<여배우들의 티타임>은 영국의 저명한 네명의 여배우 주디 덴치, 매기 스미스, 에일린 앳킨스, 조앤 플로라이트의 이야기를 다룬 다큐멘터리 영화다. 오랜 친구인 이들은 주말에 가끔 영국의 조용한 시골에 사는 조앤 플로라이트의 집에서 만나 차를 마시면서 담소를 나눈다. <노팅 힐>(1999)을 연출한 로저 미첼 감독은 네명의 대배우가 한자리에 모인 ...							",로저 미첼,6.50,10.00
"http://image.cine21.com/resize/cine21/poster/2019/1107/55490_5dc3b3fa42a6e[X230,330].jpg",굿 라이어,개봉일 : 2019-12-05,,"
					
									,
									부유한 미망인 '베티(헬렌 미렌)'는 온라인 데이트 사이트에서 '로이(이안 맥켈런)'를 만나고, 두 사람은 서로를 의지하며 좋은 관계를 만들어나간다.,
하지만 사실 로이는 베티의 돈을 노리고 의도적으로 접근했던 것. 이를 모르는 베티는 로이가 제안한대로 공동 계좌를 만들어 본인의 재산과 로이의 재산을 합하는 데 동의하고,,
두 사람은 베를린으로 여행을 떠난다. 그 곳에서 베티는 로이의 정체를 알게 되고 로이에게 복수를 감행하는데...				","
							
<굿 라이어>는 영국 정보부 출신의 작가 니콜라스 설의 동명 소설을 원작으로 만든 미스터리 스릴러다. 2009년 영국 런던, 남편을 잃은 지 몇 해가 지난 베티(헬렌 미렌)는 대화가 잘 통하는 친구를 사귀고 싶다. 은퇴한 군인 로이(이언 매켈런)는 새로운 로맨스를 원한다. 모니터 앞에 앉은 두 사람은 온라인 데이트 사이트에서 몇몇 항목을 선택하며 각자의 프...							",빌 콘돈,6.00,7.25
"http://image.cine21.com/resize/cine21/poster/2005/0121/M0010028_aviator_p1[X230,330].jpg",에비에이터,개봉일 : 2005-02-18,"누적관객 : 715,763명","
					
									,
									당신이 꿈꿔온 모든 것들...,
그에게선 현실이다! ,
,
,
세상이 꿈꾼 모든 것이 그의 손안에 있었다! ,
,
조각같이 아름다운 외모, 총명한 두뇌, 그리고 부모로부터 물려받은 막대한 재산으로 20세의 나이에 억만장자가 된 하워드 휴즈. 그러나 그는 현재에 만족하지 않는다. 그는 모두가 불가능이라고 부른 영역에 자신의 야망을 건다. 가장 먼저 선택한 것은 영화. 기라성같은 할리웃 제작자들의 비웃음과 영화계의 냉대에도 불구하고 2년의 촬영기간, 1년의 후반작업 기간이라는 어마어마한 자본과 제작공정 끝에 [지옥의 천사들]을 발표한다. 그리고 할리웃의 모든 흥행 역사를 갈아치운다. 세상의 감탄, 그러나 놀라움은 출발에 불과했다! ,
,
세상의 모든 유혹이 그의 가슴 안에 있었다! ,
,
영화계의 마이다스로 떠오른 하워드 휴즈는 당대 최고의 섹스심벌로 추앙받는 여배우들을 차례로 발굴해낸다. 그리고 그녀들은 금새 하워드 휴즈의 매력에 사로잡혀 연인이 돼버린다. 진 할로우, 캐서린 헵번, 에바 가드너... 서로 다른 매력의 여배우들이 그의 주변에서 맴돌고 각종 잡지와 매스컴의 표적이 된 휴즈. 그러나 사랑에 머무르기엔 그의 야망은 너무 거대했다! ,
,
세상의 모든 하늘이 그의 발아래 있었다! ,
,
어려서부터 비행기 조종 취미를 가졌던 하워드는 최고의 엔지니어들을 모아 새로운 비행기들을 생산해낸다. 마침내 세계 비행기록을 갱신하며 전 세계에서 가장 빠른 남자라는 타이틀을 얻는다. 그리고 오늘날까지 가장 긴 날개를 가진 비행기로 기록되는 헤라클레스를 완성하기에 이른다. 전 세계에서 가장 큰 항공사중 하나인 TWA 항공을 인수하며 세계 굴지의 항공재벌이 되지만... 생각지 못했던 음모와 시련이 그를 괴롭힌다. 그리고, 아무도 모르는 그의 내면의 비밀이 서서히 베일을 벗는데... 				","
							
 “Q-U-A-R-A-N-T-I-N-E.” 





젊은 어머니는 발가벗은 아들의 몸을 씻어주며 ‘검역’이라는 단어의 철자를 소년의 뇌리에 한자한 자 박아 넣는다. ”기억하렴. 너는 결코 안전하지 않단다.” 격리와 단절의 뜻을 포함하는 이 단어는, 18살에 고아가 된 하워드 휴스(레오나르도 디카프리오)에게 엄청난 돈과 함께 유산으로 남겨져 평생을 따라다닌다. 유년의...							",마틴 스콜세지,6.67,7.18
